Centro Nacional de Control de Energia
Precios Marginales Locales del MTR (Calculo ExPost) 
Sistema Interconectado Nacional
Reporte diario
Fecha: 12/Junio/2017
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 19/Junio/2017 15:53:13 hrs.
Nota: Los acentos de este reporte se omiten intencionalmente por sistema
Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
17,01ANL-85,3655.43,3503.28,152.16,0
18,01ANL-85,3309.24,3166.75,142.49,0
19,01ANL-85,2755.6,2634.21,121.4,0
20,01ANL-85,2321.35,2212.98,108.37,0
21,01ANL-85,2759.4,2603.48,155.92,0
22,01ANL-85,3038.52,2859.27,179.25,0
23,01ANL-85,2827.05,2692.28,134.77,0
24,01ANL-85,2404.71,2303.78,100.93,0
1,01ANM-115,2155.25,2114.11,41.14,0
2,01ANM-115,1351.64,1328.59,23.05,0
3,01ANM-115,1149.29,1129.97,19.33,0
4,01ANM-115,1219.33,1198.05,21.28,0
5,01ANM-115,1192.83,1168.83,24,0
6,01ANM-115,1150.54,1124.05,26.49,0
7,01ANM-115,1493.49,1459.34,34.15,0
8,01ANM-115,2308.13,2263.33,44.81,0
9,01ANM-115,2494.58,2467.91,26.67,0
10,01ANM-115,2442.44,2434.36,8.09,0
11,01ANM-115,2750.88,2772.97,-22.09,0
12,01ANM-115,2737.91,2769.26,-31.34,0
13,01ANM-115,2392.8,2413,-20.2,0
14,01ANM-115,2767.41,2790.45,-23.05,0
15,01ANM-115,2922.22,2936.67,-14.46,0
16,01ANM-115,3192.11,3207.34,-15.23,0
17,01ANM-115,3485.54,3503.28,-17.74,0
18,01ANM-115,3156.98,3166.75,-9.77,0
19,01ANM-115,2633.19,2634.21,-1.02,0
20,01ANM-115,2224.43,2212.98,11.45,0
21,01ANM-115,2620.87,2603.48,17.4,0
22,01ANM-115,2871.28,2859.27,12.02,0
23,01ANM-115,2682.87,2692.28,-9.41,0
24,01ANM-115,2291.9,2303.78,-11.88,0
1,01ANS-85,2176.81,2114.11,62.71,0
2,01ANS-85,1365.92,1328.59,37.33,0
3,01ANS-85,1159.35,1129.97,29.39,0
4,01ANS-85,1231.44,1198.05,33.4,0
5,01ANS-85,1202.6,1168.83,33.77,0
6,01ANS-85,1160.92,1124.05,36.87,0
7,01ANS-85,1506.83,1459.34,47.49,0
8,01ANS-85,2325.52,2263.33,62.2,0
9,01ANS-85,2505.46,2467.91,37.55,0
10,01ANS-85,2448.69,2434.36,14.33,0
11,01ANS-85,2785.37,2772.97,12.4,0
12,01ANS-85,2783.29,2769.26,14.03,0
13,01ANS-85,2435.22,2413,22.22,0
14,01ANS-85,2818.91,2790.45,28.46,0
15,01ANS-85,2982.05,2936.67,45.37,0
16,01ANS-85,3257.89,3207.34,50.56,0
17,01ANS-85,3558.48,3503.28,55.2,0
18,01ANS-85,3226.25,3166.75,59.5,0
19,01ANS-85,2687.66,2634.21,53.45,0
20,01ANS-85,2268.19,2212.98,55.22,0
21,01ANS-85,2683.76,2603.48,80.29,0
22,01ANS-85,2939.07,2859.27,79.8,0
23,01ANS-85,2733.42,2692.28,41.14,0
24,01ANS-85,2329.23,2303.78,25.45,0
1,01ANU-115,2244.4,2114.11,130.3,0
