Centro Nacional de Control de Energia
Precios Marginales Locales del MTR (Calculo ExPost) 
Sistema Interconectado Baja California
Reporte diario
Fecha: 12/Junio/2017
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 19/Junio/2017 13:51:04 hrs.
Nota: Los acentos de este reporte se omiten intencionalmente por sistema
Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
5,07CPT-230,418.48,432.85,-14.37,0
6,07CPT-230,418.66,434.27,-15.61,0
7,07CPT-230,453.45,468.68,-15.23,0
8,07CPT-230,448.75,467.58,-18.83,0
9,07CPT-230,450,468.39,-18.39,0
10,07CPT-230,449.39,468.47,-19.08,0
11,07CPT-230,462.99,481.97,-18.98,0
12,07CPT-230,484.95,503.98,-19.04,0
13,07CPT-230,459.53,476.88,-17.35,0
14,07CPT-230,441.05,458.33,-17.29,0
15,07CPT-230,437.01,451.75,-14.73,0
16,07CPT-230,446.05,457.29,-11.23,0
17,07CPT-230,456.96,466.99,-10.03,0
18,07CPT-230,483.48,495.07,-11.59,0
19,07CPT-230,472.02,484.05,-12.03,0
20,07CPT-230,494.94,508.55,-13.62,0
21,07CPT-230,473.31,486.17,-12.86,0
22,07CPT-230,478.6,490.79,-12.18,0
23,07CPT-230,473,485.04,-12.04,0
24,07CPT-230,469.09,480.09,-11,0
1,07CPU-161,448.44,461.73,-13.29,0
2,07CPU-161,418.45,431.18,-12.72,0
3,07CPU-161,418.27,431.86,-13.59,0
4,07CPU-161,417.87,432.32,-14.45,0
5,07CPU-161,417.76,432.85,-15.09,0
6,07CPU-161,417.87,434.27,-16.4,0
7,07CPU-161,452.68,468.68,-16,0
8,07CPU-161,448.04,467.58,-19.54,0
9,07CPU-161,449.26,468.39,-19.13,0
10,07CPU-161,448.88,468.47,-19.59,0
11,07CPU-161,462.59,481.97,-19.39,0
12,07CPU-161,484.56,503.98,-19.43,0
13,07CPU-161,459.19,476.88,-17.69,0
14,07CPU-161,440.9,458.33,-17.44,0
15,07CPU-161,436.93,451.75,-14.82,0
16,07CPU-161,446.02,457.29,-11.26,0
17,07CPU-161,456.94,466.99,-10.05,0
18,07CPU-161,483.39,495.07,-11.67,0
19,07CPU-161,471.93,484.05,-12.11,0
20,07CPU-161,494.9,508.55,-13.65,0
21,07CPU-161,473.3,486.17,-12.87,0
22,07CPU-161,478.57,490.79,-12.22,0
23,07CPU-161,472.88,485.04,-12.16,0
24,07CPU-161,468.62,480.09,-11.47,0
1,07CRO-161,451.4,461.73,-10.33,0
2,07CRO-161,421.44,431.18,-9.73,0
3,07CRO-161,421.42,431.86,-10.45,0
4,07CRO-161,421.16,432.32,-11.17,0
5,07CRO-161,421.12,432.85,-11.73,0
6,07CRO-161,421.31,434.27,-12.96,0
7,07CRO-161,456.39,468.68,-12.29,0
8,07CRO-161,451.7,467.58,-15.88,0
9,07CRO-161,452.68,468.39,-15.71,0
10,07CRO-161,452.13,468.47,-16.35,0
11,07CRO-161,465.73,481.97,-16.24,0
12,07CRO-161,487.69,503.98,-16.29,0
13,07CRO-161,462.09,476.88,-14.79,0
14,07CRO-161,443.58,458.33,-14.76,0
15,07CRO-161,439.37,451.75,-12.38,0
16,07CRO-161,448.32,457.29,-8.97,0
17,07CRO-161,459.19,466.99,-7.8,0
18,07CRO-161,485.84,495.07,-9.22,0
19,07CRO-161,474.37,484.05,-9.68,0
20,07CRO-161,497.53,508.55,-11.02,0
21,07CRO-161,475.65,486.17,-10.52,0
22,07CRO-161,480.84,490.79,-9.95,0
23,07CRO-161,475.23,485.04,-9.81,0
24,07CRO-161,471.17,480.09,-8.92,0
1,07CSC-230,450.55,461.73,-11.18,0
2,07CSC-230,420.56,431.18,-10.62,0
3,07CSC-230,420.47,431.86,-11.4,0
4,07CSC-230,420.07,432.32,-12.26,0
5,07CSC-230,419.89,432.85,-12.96,0
6,07CSC-230,420.17,434.27,-14.11,0
7,07CSC-230,455.03,468.68,-13.65,0
8,07CSC-230,450.27,467.58,-17.31,0
9,07CSC-230,451.56,468.39,-16.83,0
10,07CSC-230,450.92,468.47,-17.55,0
