Centro Nacional de Control de Energia
Precios Marginales Locales del MDA 
Sistema Interconectado Baja California
Reporte diario
Fecha: 20/Junio/2017
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 19/Junio/2017 12:03:36 hrs.
Nota: Los acentos de este reporte se omiten intencionalmente por sistema
Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
13,07CIP-115,829.09,822.52,6.57,0
14,07CIP-115,836.77,829.71,7.06,0
15,07CIP-115,952.81,943.75,9.06,0
16,07CIP-115,741.76,738.02,3.74,0
17,07CIP-115,741.5,738.04,3.46,0
18,07CIP-115,877.53,870.45,7.08,0
19,07CIP-115,917.81,910.19,7.62,0
20,07CIP-115,832.51,826.73,5.78,0
21,07CIP-115,838.82,831.52,7.3,0
22,07CIP-115,838.14,831.18,6.96,0
23,07CIP-115,865.36,858.67,6.69,0
24,07CIP-115,802.56,800.72,1.83,0
1,07CME-115,707.11,704.27,2.84,0
2,07CME-115,715.48,711.49,3.99,0
3,07CME-115,675.5,671.98,3.52,0
4,07CME-115,486.47,483.57,2.9,0
5,07CME-115,476.09,472.41,3.69,0
6,07CME-115,456.54,452.18,4.36,0
7,07CME-115,458.32,453.53,4.79,0
8,07CME-115,503.17,498.87,4.31,0
9,07CME-115,510.85,506.72,4.13,0
10,07CME-115,726.52,720.49,6.03,0
11,07CME-115,744.14,737.81,6.32,0
12,07CME-115,1034.22,1022.33,11.89,0
13,07CME-115,830.34,822.52,7.82,0
14,07CME-115,837.92,829.71,8.21,0
15,07CME-115,954.05,943.75,10.3,0
16,07CME-115,742.83,738.02,4.8,0
17,07CME-115,742.56,738.04,4.52,0
18,07CME-115,878.67,870.45,8.22,0
19,07CME-115,919.11,910.19,8.92,0
20,07CME-115,833.8,826.73,7.06,0
21,07CME-115,840.18,831.52,8.66,0
22,07CME-115,839.49,831.18,8.31,0
23,07CME-115,866.68,858.67,8.01,0
24,07CME-115,803.79,800.72,3.06,0
1,07CNA-69,712.9,704.27,8.63,0
2,07CNA-69,719.5,711.49,8.01,0
3,07CNA-69,679.09,671.98,7.11,0
4,07CNA-69,488.49,483.57,4.92,0
5,07CNA-69,477.04,472.41,4.63,0
6,07CNA-69,456.61,452.18,4.43,0
7,07CNA-69,458.19,453.53,4.66,0
8,07CNA-69,504.83,498.87,5.96,0
9,07CNA-69,513.29,506.72,6.57,0
10,07CNA-69,730.42,720.49,9.93,0
11,07CNA-69,748.55,737.81,10.73,0
12,07CNA-69,1037.55,1022.33,15.23,0
13,07CNA-69,834.97,822.52,12.45,0
14,07CNA-69,842.88,829.71,13.17,0
15,07CNA-69,958.76,943.75,15.01,0
16,07CNA-69,749.79,738.02,11.77,0
17,07CNA-69,749.68,738.04,11.64,0
18,07CNA-69,883.87,870.45,13.42,0
19,07CNA-69,923.84,910.19,13.65,0
20,07CNA-69,839.17,826.73,12.43,0
21,07CNA-69,844.65,831.52,13.13,0
22,07CNA-69,844.24,831.18,13.07,0
23,07CNA-69,871.39,858.67,12.72,0
24,07CNA-69,811.75,800.72,11.03,0
1,07CNT-230,739.73,704.27,35.46,0
