Centro Nacional de Control de Energia
Precios Marginales Locales del MDA 
Sistema Interconectado Nacional
Reporte diario
Fecha: 20/Junio/2017
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 19/Junio/2017 14:30:05 hrs.
Nota: Los acentos de este reporte se omiten intencionalmente por sistema
Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
9,01ACS-230,4681.51,4677.74,3.77,0
10,01ACS-230,3951.22,3988.79,-37.58,0
11,01ACS-230,3977.53,4026.56,-49.03,0
12,01ACS-230,3974.25,4002.69,-28.44,0
13,01ACS-230,2491.27,2523.5,-32.22,0
14,01ACS-230,3979.65,4025.46,-45.81,0
15,01ACS-230,3965.27,4025.12,-59.85,0
16,01ACS-230,4030.25,4101.78,-71.53,0
17,01ACS-230,4151.76,4230.28,-78.52,0
18,01ACS-230,4124.85,4183.65,-58.79,0
19,01ACS-230,3202.09,3241.9,-39.81,0
20,01ACS-230,3928.16,3953.12,-23.37,-1.6
21,01ACS-230,3386.52,3395.57,-9.05,0
22,01ACS-230,3931.32,3961.37,-30.04,0
23,01ACS-230,3952.16,3980.48,-27.2,-1.12
24,01ACS-230,2422.5,2449.97,-27.47,0
1,01AGU-230,3955.92,3942.82,13.11,0
2,01AGU-230,3379.05,3343.6,35.45,0
3,01AGU-230,2440.75,2405.82,34.93,0
4,01AGU-230,1350.9,1324.2,26.69,0
5,01AGU-230,2538.49,2497.89,40.6,0
6,01AGU-230,1512.53,1477.36,35.17,0
7,01AGU-230,2949.45,2879.73,69.72,0
8,01AGU-230,2361.53,2309.77,51.76,0
9,01AGU-230,4770.1,4677.74,92.36,0
10,01AGU-230,4031.61,3988.79,42.82,0
11,01AGU-230,4048.63,4026.56,22.08,0
12,01AGU-230,4041.18,4002.69,38.49,0
13,01AGU-230,2538.33,2523.5,14.84,0
14,01AGU-230,4046.94,4025.46,21.48,0
15,01AGU-230,4033.62,4025.12,8.5,0
16,01AGU-230,4096.08,4101.78,-5.7,0
