Centro Nacional de Control de Energia
Precios Marginales Locales del MDA 
Sistema Interconectado Baja California Sur
Reporte diario
Fecha: 20/Junio/2017
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 19/Junio/2017 14:13:08 hrs.
Nota: Los acentos de este reporte se omiten intencionalmente por sistema
Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
20,07CAR-115,2018.13,1985.25,32.88,0
21,07CAR-115,2200.5,2165.62,34.89,0
22,07CAR-115,3287.02,3230.63,56.39,0
23,07CAR-115,2048.66,2012.77,35.9,0
24,07CAR-115,1894.78,1859.24,35.54,0
1,07CAS-115,1778.1,1717.42,60.69,0
2,07CAS-115,1824.24,1762.2,62.04,0
3,07CAS-115,1682.49,1627.65,54.85,0
4,07CAS-115,1556.64,1508.3,48.34,0
5,07CAS-115,1756.52,1702.79,53.74,0
6,07CAS-115,1743.1,1690.19,52.91,0
7,07CAS-115,1744.17,1690.78,53.39,0
8,07CAS-115,1758.79,1703.33,55.46,0
9,07CAS-115,1593.24,1539.01,54.22,0
10,07CAS-115,1744.32,1680.19,64.13,0
11,07CAS-115,1833.9,1762.82,71.08,0
12,07CAS-115,1730.13,1663.96,66.17,0
13,07CAS-115,1774.04,1705.23,68.81,0
14,07CAS-115,1829.85,1759.11,70.74,0
15,07CAS-115,1848.6,1779.86,68.75,0
16,07CAS-115,1938.52,1864.98,73.54,0
17,07CAS-115,2252.72,2165.69,87.03,0
18,07CAS-115,3257.59,3138.9,118.68,0
19,07CAS-115,2105.06,2029.85,75.21,0
20,07CAS-115,2059.87,1985.25,74.62,0
21,07CAS-115,2249.19,2165.62,83.57,0
22,07CAS-115,3349.53,3230.63,118.9,0
23,07CAS-115,2085.54,2012.77,72.77,0
24,07CAS-115,1925.05,1859.24,65.81,0
1,07COR-230,1708.36,1717.42,-9.06,0
2,07COR-230,1753.5,1762.2,-8.7,0
3,07COR-230,1619.61,1627.65,-8.03,0
4,07COR-230,1500.9,1508.3,-7.4,0
5,07COR-230,1695.58,1702.79,-7.21,0
6,07COR-230,1683.03,1690.19,-7.15,0
7,07COR-230,1683.62,1690.78,-7.16,0
8,07COR-230,1696.12,1703.33,-7.21,0
9,07COR-230,1531.42,1539.01,-7.6,0
10,07COR-230,1671.9,1680.19,-8.29,0
11,07COR-230,1754.12,1762.82,-8.7,0
12,07COR-230,1655.23,1663.96,-8.73,0
13,07COR-230,1696.27,1705.23,-8.95,0
14,07COR-230,1749.83,1759.11,-9.28,0
15,07COR-230,1770.47,1779.86,-9.39,0
16,07COR-230,1855.03,1864.98,-9.95,0
17,07COR-230,2153.89,2165.69,-11.8,0
18,07COR-230,3121.8,3138.9,-17.11,0
19,07COR-230,2018.91,2029.85,-10.94,0
20,07COR-230,1974.6,1985.25,-10.65,0
21,07COR-230,2153.86,2165.62,-11.76,0
22,07COR-230,3213.02,3230.63,-17.61,0
23,07COR-230,2001.96,2012.77,-10.8,0
24,07COR-230,1849.36,1859.24,-9.88,0
1,07CRE-115,1773.36,1717.42,55.94,0
2,07CRE-115,1819.05,1762.2,56.85,0
3,07CRE-115,1677.8,1627.65,50.15,0
4,07CRE-115,1552.47,1508.3,44.17,0
5,07CRE-115,1751.86,1702.79,49.07,0
6,07CRE-115,1738.48,1690.19,48.29,0
7,07CRE-115,1739.38,1690.78,48.6,0
8,07CRE-115,1753.84,1703.33,50.51,0
9,07CRE-115,1588.52,1539.01,49.5,0
10,07CRE-115,1739.02,1680.19,58.83,0
11,07CRE-115,1828.13,1762.82,65.31,0
12,07CRE-115,1724.98,1663.96,61.02,0
